iter	Passed	Remaining
444	1263	1291
445	1266	1289
446	1269	1286
447	1272	1284
448	1275	1280
449	1277	1277
450	1281	1275
451	1284	1272
452	1287	1270
453	1290	1267
454	1292	1264
455	1296	1262
456	1299	1259
457	1301	1256
458	1304	1253
459	1306	1250
460	1309	1246
461	1312	1244
462	1315	1241
463	1318	1238
464	1321	1236
465	1324	1233
466	1327	1231
467	1331	1228
468	1334	1226
469	1337	1223
470	1339	1220
471	1343	1218
472	1346	1215
473	1349	1212
474	1351	1209
475	1354	1206
476	1356	1203
477	1360	1200
478	1363	1198
479	1365	1195
480	1369	1192
481	1371	1189
482	1375	1187
483	1378	1184
484	1381	1181
485	1383	1178
486	1385	1175
487	1388	1172
488	1392	1170
489	1394	1167
490	1397	1163
491	1400	1161
492	1402	1157
493	1405	1155
494	1408	1152
495	1410	1149
496	1413	1146
497	1416	1143
498	1418	1140
499	1422	1137
500	1425	1134
501	1428	1132
502	1431	1129
503	1433	1126
504	1437	1124
505	1440	1122
506	1443	1119
507	1446	1116
508	1448	1112
509	1451	1109
510	1454	1107
511	1457	1104
512	1460	1101
513	1462	1098
514	1465	1095
515	1468	1093
516	1471	1090
517	1474	1087
518	1477	1084
519	1479	1081
520	1482	1078
521	1486	1076
522	1488	1073
523	1492	1070
524	1495	1068
525	1497	1065
526	1501	1062
527	1504	1059
528	1507	1057
529	1509	1054
530	1512	1050
531	1515	1048
532	1518	1045
533	1521	1042
534	1524	1039
535	1526	1036
536	1529	1033
537	1532	1031
538	1535	1028
539	1538	1025
540	1540	1022
541	1543	1019
542	1545	1016
543	1549	1014
544	1552	1011
545	1555	1008
546	1557	1005
547	1559	1002
548	1562	999
549	1566	996
550	1569	993
551	1571	990
552	1574	987
553	1576	984
554	1580	982
555	1583	979
556	1585	976
557	1588	973
558	1590	970
559	1592	967
560	1596	964
561	1599	961
562	1601	958
563	1604	955
564	1606	952
565	1608	949
566	1612	946
567	1615	944
568	1618	941
569	1620	938
570	1623	935
571	1626	932
572	1629	929
573	1632	927
574	1635	924
575	1637	921
576	1640	918
577	1643	915
578	1646	912
579	1649	910
580	1651	907
581	1654	904
582	1657	901
583	1660	898
584	1663	895
585	1665	892
586	1668	889
587	1671	886
588	1674	884
589	1677	881
590	1679	878
591	1682	875
592	1684	872
593	1687	869
594	1690	866
595	1694	864
596	1696	861
597	1699	858
598	1701	855
599	1704	852
600	1707	849
601	1710	846
602	1713	843
603	1715	840
604	1718	837
605	1721	835
606	1724	832
607	1727	829
608	1730	826
609	1732	823
610	1735	820
611	1738	818
612	1742	815
613	1744	812
614	1747	809
615	1750	806
616	1753	804
617	1756	801
618	1758	798
619	1761	795
620	1763	792
621	1766	789
622	1769	786
623	1772	783
624	1774	780
625	1777	777
626	1779	774
627	1782	771
628	1785	769
629	1788	766
630	1790	763
631	1792	760
632	1795	757
633	1797	754
634	1801	751
635	1803	748
636	1806	745
637	1808	742
638	1811	739
639	1813	736
640	1816	734
641	1819	731
642	1821	728
643	1824	725
644	1826	722
645	1829	719
646	1832	716
647	1835	713
648	1838	711
649	1841	708
650	1843	705
651	1845	702
652	1849	699
653	1851	696
654	1854	693
655	1856	690
656	1858	687
657	1861	684
658	1864	681
659	1867	678
660	1869	676
661	1872	673
662	1874	670
663	1877	667
664	1880	664
665	1883	661
666	1886	658
667	1888	655
668	1891	653
669	1894	650
670	1896	647
671	1899	644
672	1901	641
673	1904	638
674	1906	635
675	1909	632
676	1912	629
677	1914	627
678	1917	624
679	1919	621
680	1922	618
681	1924	615
682	1927	612
683	1930	609
684	1933	606
685	1935	603
686	1938	601
687	1941	598
688	1944	595
689	1946	592
690	1949	589
691	1951	586
692	1953	583
693	1956	580
694	1959	578
695	1962	575
696	1964	572
697	1967	569
698	1969	566
699	1972	563
700	1975	560
701	1977	557
702	1980	554
703	1982	552
704	1985	549
705	1987	546
706	1990	543
707	1993	540
708	1996	537
709	1998	534
710	2001	531
711	2003	529
712	2005	526
713	2008	523
714	2010	520
715	2013	517
716	2017	514
717	2019	511
718	2022	509
719	2025	506
720	2028	503
721	2031	500
722	2034	497
723	2036	495
724	2039	492
725	2041	489
726	2044	486
727	2047	483
728	2049	480
729	2052	478
730	2055	475
731	2057	472
732	2059	469
733	2063	466
734	2065	463
735	2068	460
736	2071	458
737	2073	455
738	2076	452
739	2079	449
740	2081	446
741	2084	443
742	2086	440
743	2089	438
744	2091	435
745	2094	432
746	2097	429
747	2100	426
748	2102	423
749	2105	421
750	2107	418
751	2111	415
752	2114	412
753	2117	409
754	2119	407
755	2122	404
756	2124	401
757	2128	398
758	2131	395
759	2133	393
760	2136	390
761	2138	387
762	2141	384
763	2144	381
764	2146	378
765	2149	375
766	2151	373
767	2154	370
768	2156	367
769	2159	364
770	2162	361
771	2164	358
772	2167	356
773	2169	353
774	2172	350
775	2176	347
776	2178	344
777	2181	342
778	2183	339
779	2186	336
780	2188	333
781	2191	330
782	2194	327
783	2197	325
784	2199	322
785	2202	319
786	2205	316
787	2208	313
788	2210	311
789	2213	308
790	2216	305
791	2218	302
792	2222	299
793	2224	296
794	2227	294
795	2229	291
796	2232	288
797	2234	285
798	2238	282
799	2241	280
800	2243	277
801	2246	274
802	2248	271
803	2251	268
804	2254	266
805	2257	263
806	2259	260
807	2262	257
808	2264	254
809	2267	251
810	2270	249
811	2273	246
812	2275	243
813	2278	240
814	2281	237
815	2283	235
816	2286	232
817	2289	229
818	2291	226
819	2294	223
820	2296	221
821	2299	218
822	2302	215
823	2305	212
824	2307	209
825	2309	206
826	2312	204
827	2314	201
828	2317	198
829	2320	195
830	2323	192
831	2326	190
832	2328	187
833	2331	184
834	2334	181
835	2336	178
836	2339	176
837	2342	173
838	2344	170
839	2347	167
840	2350	164
841	2352	162
842	2355	159
843	2357	156
844	2360	153
845	2363	150
846	2365	148
847	2368	145
848	2371	142
849	2373	139
850	2376	136
851	2379	134
852	2381	131
853	2384	128
854	2386	125
855	2389	122
856	2391	120
857	2395	117
858	2398	114
859	2401	111
860	2404	108
861	2407	106
862	2410	103
863	2413	100
864	2416	97
865	2419	94
866	2422	92
867	2424	89
868	2427	86
869	2430	83
870	2432	81
871	2435	78
872	2437	75
873	2440	72
874	2443	69
875	2446	67
876	2448	64
877	2451	61
878	2454	58
879	2456	55
880	2460	53
881	2462	50
882	2465	47
883	2467	44
884	2470	41
885	2472	39
886	2476	36
887	2479	33
888	2481	30
889	2484	27
890	2486	25
891	2490	22
892	2493	19
893	2496	16
894	2498	13
895	2501	11
896	2504	8
897	2507	5
898	2510	2
899	2513	0
